"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест с параметризацией для демонстрации разнообразия.","0","Параметризованные тесты","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Простой тест без зависимостей.","0","Простой assert тест","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест с параметризацией для демонстрации разнообразия.","0","Параметризованные тесты","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест с параметризацией для демонстрации разнообразия.","1","Параметризованные тесты","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Базовый тест для проверки что Allure отчет генерируется.","0","Проверка работы Allure отчета","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест с параметризацией для демонстрации разнообразия.","0","Параметризованные тесты","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест с логированием в Allure отчет.","0","Тест с логированием в Allure","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест проверяет строковые операции.","0","Тест со строковыми операциями","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест демонстрирует работу attachments в Allure.","0","Демо тест с attachments","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест с множеством шагов для демонстрации.","0","Тест с множественными шагами","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
"Тест с параметризацией для демонстрации разнообразия.","0","Параметризованные тесты","tests","Thu Apr 02 15:50:53 UTC 2026","passed","Thu Apr 02 15:50:53 UTC 2026","TestSmoke","test_smoke","",""
